ciudad,fecha_datos,url,Fecha,Temperatura,Clima,Viento
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Jueves, 13 febrero",15°/10°,Ligeras precipitaciones,2Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Viernes, 14 febrero",16°/10°,Nublado,4Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Sábado, 15 febrero",16°/9°,Parcialmente nublado,7Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Domingo, 16 febrero",16°/9°,Soleado,4Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Lunes, 17 febrero",16°/9°,Despejado,6Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Martes, 18 febrero",17°/10°,Despejado,15Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Miércoles, 19 febrero",18°/10°,Despejado,16Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Jueves, 20 febrero",17°/12°,Parcialmente nublado,21Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Viernes, 21 febrero",17°/12°,Lluvia moderada a intervalos,4Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Sábado, 22 febrero",17°/11°,Lluvia moderada a intervalos,15Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Domingo, 23 febrero",16°/12°,Lluvia moderada a intervalos,11Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Lunes, 24 febrero",16°/11°,Lluvia moderada a intervalos,6Km/h
Palma,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/palma?page=14,"Martes, 25 febrero",17°/11°,Cielo cubierto,9Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Miércoles, 12 febrero",16°/13°,Lluvia moderada a intervalos,11Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Jueves, 13 febrero",15°/12°,Ligeras precipitaciones,5Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Viernes, 14 febrero",16°/13°,Despejado,5Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Sábado, 15 febrero",16°/14°,Soleado,15Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Domingo, 16 febrero",16°/13°,Parcialmente nublado,8Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Lunes, 17 febrero",16°/13°,Despejado,12Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Martes, 18 febrero",16°/14°,Despejado,30Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Miércoles, 19 febrero",16°/14°,Parcialmente nublado,28Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Jueves, 20 febrero",15°/14°,Nublado,32Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Viernes, 21 febrero",16°/14°,Lluvia moderada a intervalos,14Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Sábado, 22 febrero",16°/14°,Ligeras precipitaciones,15Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Domingo, 23 febrero",16°/13°,Parcialmente nublado,9Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Lunes, 24 febrero",16°/13°,Parcialmente nublado,16Km/h
Ibiza,2025-02-12,https://www.tiempo3.com/europe/spain/balearic-islands/ibiza?page=14,"Martes, 25 febrero",16°/14°,Parcialmente nublado,6Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Miércoles, 12 febrero",11°/3°,Parcialmente nublado,10Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Jueves, 13 febrero",9°/2°,Lluvia moderada a intervalos,3Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Viernes, 14 febrero",12°/4°,Neblina,5Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Sábado, 15 febrero",12°/4°,Lluvia moderada a intervalos,6Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Domingo, 16 febrero",13°/3°,Despejado,4Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Lunes, 17 febrero",13°/3°,Lluvia moderada a intervalos,7Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Martes, 18 febrero",15°/5°,Soleado,11Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Miércoles, 19 febrero",13°/7°,Parcialmente nublado,5Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Jueves, 20 febrero",14°/7°,Parcialmente nublado,5Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Viernes, 21 febrero",11°/7°,Llovizna,14Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Sábado, 22 febrero",10°/7°,Llovizna,5Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Domingo, 23 febrero",11°/4°,Lluvia moderada a intervalos,23Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Lunes, 24 febrero",10°/5°,Ligeras precipitaciones,13Km/h
León,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/leon?page=14,"Martes, 25 febrero",9°/2°,Ligeras precipitaciones,8Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Miércoles, 12 febrero",11°/5°,Parcialmente nublado,8Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Jueves, 13 febrero",11°/3°,Cielo cubierto,6Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Viernes, 14 febrero",15°/7°,Parcialmente nublado,1Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Sábado, 15 febrero",15°/6°,Parcialmente nublado,6Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Domingo, 16 febrero",15°/5°,Despejado,4Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Lunes, 17 febrero",16°/5°,Despejado,6Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Martes, 18 febrero",17°/7°,Nublado,13Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Miércoles, 19 febrero",14°/8°,Parcialmente nublado,12Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Jueves, 20 febrero",16°/7°,Parcialmente nublado,5Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Viernes, 21 febrero",15°/8°,Parcialmente nublado,27Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Sábado, 22 febrero",9°/8°,Llovizna,5Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Domingo, 23 febrero",13°/5°,Parcialmente nublado,19Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Lunes, 24 febrero",11°/6°,Ligeras precipitaciones,13Km/h
Valladolid,2025-02-12,https://www.tiempo3.com/europe/spain/castilla-y-leon/valladolid?page=14,"Martes, 25 febrero",10°/4°,Intervalos de lluvias ligeras con tomenta en la región,6Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Miércoles, 12 febrero",19°/17°,Despejado,23Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Jueves, 13 febrero",19°/17°,Soleado,25Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Viernes, 14 febrero",18°/17°,Despejado,11Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Sábado, 15 febrero",18°/17°,Soleado,9Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Domingo, 16 febrero",18°/17°,Despejado,24Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Lunes, 17 febrero",18°/16°,Despejado,31Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Martes, 18 febrero",18°/18°,Lluvia moderada a intervalos,5Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Miércoles, 19 febrero",18°/16°,Lluvia moderada a intervalos,15Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Jueves, 20 febrero",18°/16°,Despejado,16Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Viernes, 21 febrero",18°/17°,Despejado,15Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Sábado, 22 febrero",18°/17°,Lluvia moderada a intervalos,25Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Domingo, 23 febrero",18°/17°,Soleado,4Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Lunes, 24 febrero",18°/16°,Parcialmente nublado,10Km/h
Tenerife,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/tenerife?page=14,"Martes, 25 febrero",19°/17°,Lluvia moderada a intervalos,6Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Miércoles, 12 febrero",18°/16°,Parcialmente nublado,18Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Jueves, 13 febrero",18°/15°,Parcialmente nublado,15Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Viernes, 14 febrero",19°/14°,Parcialmente nublado,12Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Sábado, 15 febrero",19°/15°,Parcialmente nublado,25Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Domingo, 16 febrero",18°/15°,Lluvia moderada a intervalos,19Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Lunes, 17 febrero",18°/14°,Despejado,3Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Martes, 18 febrero",18°/16°,Lluvia moderada a intervalos,33Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Miércoles, 19 febrero",18°/15°,Lluvia moderada a intervalos,19Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Jueves, 20 febrero",18°/15°,Lluvia moderada a intervalos,21Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Viernes, 21 febrero",19°/15°,Lluvia moderada a intervalos,22Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Sábado, 22 febrero",18°/16°,Lluvia moderada a intervalos,15Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Domingo, 23 febrero",18°/15°,Despejado,11Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Lunes, 24 febrero",18°/14°,Cielo cubierto,14Km/h
Las Palmas,2025-02-12,https://www.tiempo3.com/europe/spain/canary-islands/las-palmas?page=14,"Martes, 25 febrero",18°/16°,Ligeras precipitaciones,37Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Miércoles, 12 febrero",19°/10°,Llovizna a intervalos,5Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Jueves, 13 febrero",16°/9°,Despejado,3Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Viernes, 14 febrero",19°/11°,Despejado,7Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Sábado, 15 febrero",16°/11°,Soleado,9Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Domingo, 16 febrero",16°/10°,Nublado,5Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Lunes, 17 febrero",16°/10°,Despejado,10Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Martes, 18 febrero",16°/11°,Parcialmente nublado,18Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Miércoles, 19 febrero",15°/12°,Lluvia moderada a intervalos,21Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Jueves, 20 febrero",15°/13°,Lluvia moderada a intervalos,35Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Viernes, 21 febrero",15°/13°,Lluvia moderada a intervalos,16Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Sábado, 22 febrero",15°/12°,Ligeras precipitaciones,9Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Domingo, 23 febrero",16°/12°,Lluvia moderada a intervalos,7Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Lunes, 24 febrero",16°/11°,Parcialmente nublado,10Km/h
Valencia,2025-02-12,https://www.tiempo3.com/europe/spain/comunidad-valenciana/valencia?page=14,"Martes, 25 febrero",16°/11°,Nublado,8Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Miércoles, 12 febrero",14°/7°,Lluvia moderada a intervalos,5Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Jueves, 13 febrero",15°/7°,Ligeras lluvias,4Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Viernes, 14 febrero",17°/10°,Nublado,6Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Sábado, 15 febrero",18°/9°,Despejado,6Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Domingo, 16 febrero",16°/8°,Despejado,6Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Lunes, 17 febrero",17°/9°,Despejado,8Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Martes, 18 febrero",19°/11°,Cielo cubierto,8Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Miércoles, 19 febrero",19°/11°,Cielo cubierto,8Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Jueves, 20 febrero",18°/10°,Despejado,7Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Viernes, 21 febrero",18°/10°,Soleado,10Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Sábado, 22 febrero",12°/10°,Llovizna a intervalos,6Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Domingo, 23 febrero",17°/8°,Neblina,10Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Lunes, 24 febrero",14°/9°,Periodos de lluvia moderada,4Km/h
Aviles,2025-02-12,https://www.tiempo3.com/europe/spain/asturias/aviles?page=14,"Martes, 25 febrero",13°/6°,Ligeras precipitaciones,4Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Miércoles, 12 febrero",11°/4°,Lluvia moderada a intervalos,8Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Jueves, 13 febrero",13°/2°,Despejado,1Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Viernes, 14 febrero",17°/4°,Cielo cubierto,0Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Sábado, 15 febrero",18°/5°,Parcialmente nublado,4Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Domingo, 16 febrero",17°/7°,Cielo cubierto,5Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Lunes, 17 febrero",17°/5°,Soleado,8Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Martes, 18 febrero",16°/6°,Cielo cubierto,13Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Miércoles, 19 febrero",13°/7°,Ligeras lluvias,10Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Jueves, 20 febrero",9°/5°,Ligeras lluvias,8Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Viernes, 21 febrero",13°/2°,Lluvia moderada a intervalos,8Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Sábado, 22 febrero",9°/4°,Ligeras lluvias,7Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Domingo, 23 febrero",13°/2°,Parcialmente nublado,6Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Lunes, 24 febrero",15°/6°,Despejado,9Km/h
Granada,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/granada?page=14,"Martes, 25 febrero",10°/6°,Ligeras lluvias,2Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Miércoles, 12 febrero",12°/6°,Lluvia moderada a intervalos,5Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Jueves, 13 febrero",11°/9°,Llovizna,7Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Viernes, 14 febrero",15°/9°,Niebla moderada,5Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Sábado, 15 febrero",16°/7°,Neblina,5Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Domingo, 16 febrero",16°/7°,Nublado,5Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Lunes, 17 febrero",15°/7°,Niebla moderada,5Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Martes, 18 febrero",18°/9°,Soleado,4Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Miércoles, 19 febrero",19°/9°,Parcialmente nublado,2Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Jueves, 20 febrero",17°/8°,Neblina,4Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Viernes, 21 febrero",13°/8°,Lluvia moderada a intervalos,10Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Sábado, 22 febrero",13°/7°,Ligeras precipitaciones,3Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Domingo, 23 febrero",11°/6°,Niebla moderada,15Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Lunes, 24 febrero",11°/6°,Ligeras precipitaciones,7Km/h
Santiago de Compostela,2025-02-12,https://www.tiempo3.com/europe/spain/galicia/santiago-de-compostela?page=14,"Martes, 25 febrero",10°/4°,Lluvia moderada a intervalos,2Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Miércoles, 12 febrero",10°/7°,Llovizna,24Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Jueves, 13 febrero",15°/5°,Soleado,10Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Viernes, 14 febrero",18°/8°,Despejado,7Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Sábado, 15 febrero",16°/8°,Despejado,10Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Domingo, 16 febrero",17°/6°,Parcialmente nublado,4Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Lunes, 17 febrero",19°/7°,Despejado,10Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Martes, 18 febrero",17°/7°,Parcialmente nublado,26Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Miércoles, 19 febrero",16°/8°,Parcialmente nublado,18Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Jueves, 20 febrero",14°/7°,Nublado,10Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Viernes, 21 febrero",13°/6°,Lluvia moderada a intervalos,23Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Sábado, 22 febrero",15°/10°,Ligeras precipitaciones,9Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Domingo, 23 febrero",17°/9°,Despejado,15Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Lunes, 24 febrero",13°/10°,Llovizna,10Km/h
Zaragoza,2025-02-12,https://www.tiempo3.com/europe/spain/aragon/zaragoza?page=14,"Martes, 25 febrero",14°/9°,Ligeras precipitaciones,7Km/h
Sevilla,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/seville?page=14,"Miércoles, 12 febrero",18°/10°,Parcialmente nublado,11Km/h
Sevilla,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/seville?page=14,"Jueves, 13 febrero",18°/8°,Despejado,4Km/h
Sevilla,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/seville?page=14,"Viernes, 14 febrero",19°/8°,Cielo cubierto,2Km/h
Sevilla,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/seville?page=14,"Sábado, 15 febrero",19°/9°,Cielo cubierto,3Km/h
Sevilla,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/seville?page=14,"Domingo, 16 febrero",20°/10°,Despejado,6Km/h
Sevilla,2025-02-12,https://www.tiempo3.com/europe/spain/andalucia/seville?page=14,"Lunes, 17 febrero",22°/9°,Parcialmente nublado,9Km/h
